和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)
コベニチャワンタケ（川村）,,,Scutellinia cubensis (Berk. & M.A. Curtis) Gamundí,ピロネマキン科,アラゲコベニチャワンタケ属,Pyronemataceae,Scutellinia,"Scutellinia cubensis (Berk. & M.A. Curtis) Gamundí, Contr. cient. Univ. B. Aires, Ser. bot.: 84 (1956) [MB#305690]","Humaria cubensis (Berk. & M.A. Curtis) K.S. Thind & Sethi, Journal of the Indian Botanical Society 36: 202 (1957) [MB#298514]<br />Patella cubensis (Berk. & M.A. Curtis) Seaver, The North American Cup-Fungi (Operculates) (3): 160 (1928) [MB#262444]

<br />Ciliaria cubensis (Berk. & M.A. Curtis) Pat., Énumération Méthodique des Champignons Recueillis à la Guadeloupe et à la Martinique: 65 (1903) [MB#102319]

<br />Lachnea cubensis (Berk. & M.A. Curtis) Sacc., Sylloge Fungorum 8: 176 (1889) [MB#152068]

<br />Peziza cubensis Berk. & M.A. Curtis, Journal of the Linnean Society. Botany 10: 366 (1869) [MB#214364]

"

チセイコベニチャワンタケ,,,Scutellinia ZZZ,ピロネマキン科,アラゲコベニチャワンタケ属,Pyronemataceae,Scutellinia,,

コベニチャワンタケモドキ,,コベニチャワンタケ（今井）,Microstoma protracta (Fr.) Kanouse,ベニチャワンタケ科,シロキツネノサカズキ属,Sarcoscyphaceae,Microstoma,"Microstoma protractum (Fr.) Kanouse, Mycologia 40: 486 (1948) [MB#521598]","Anthopeziza protracta (Fr.) Nannf., Svensk Botanisk Tidskrift 43: 477 (1949) [MB#505194]<br />Microstoma protractum (Fr.) Kanouse, Mycologia 40: 486 (1948) [MB#521598]

<br />Plectania protracta (Fr.) S. Imai, Botanical Magazine Tokyo 52: 362 (1938) [MB#254114]

<br />Sarcoscypha protracta (Fr.) Sacc., Sylloge Fungorum 8: 155 (1889) [MB#237678]

<br />Peziza protracta Fr., Nova Acta Regiae Societatis scientiarum upsaliensis: 230 (1851) [MB#225766]

"

ヒュウガサラタケ,,,Phillipsia dochmia (Berk. & M.A. Curtis) Seaver → Aurophora dochmia (Berk. & M.A. Curtis) Rifai,ベニチャワンタケ科,ニクアツベニサラタケ属,Sarcoscyphaceae,Phillipsia,"Aurophora dochmia (Berk. & M.A. Curtis) Rifai, Verhandelingen Koninklijke Nederlandse Akademie van Wetenschappen Afdeling Natuurkunde 57 (3): 52 (1968) [MB#326839]","Aurophora dochmia (Berk. & M.A. Curtis) Rifai, Verhandelingen Koninklijke Nederlandse Akademie van Wetenschappen Afdeling Natuurkunde 57 (3): 52 (1968) [MB#326839]<br />Otidea dochmia (Berk. & M.A. Curtis) Sacc., Sylloge Fungorum 8: 95 (1889) [MB#153428]

<br />Peziza dochmia Berk. & M.A. Curtis, Journal of the Linnean Society. Botany 10: 364 (1869) [MB#230855]

"

ネッタイキチャワンタケ,,,Phillipsia straminea S. Ito & S. Imai,ベニチャワンタケ科,ニクアツベニサラタケ属,Sarcoscyphaceae,Phillipsia,,

ムラサキチャワンタケ（小林）,,ウスミベニサラタケ,Phillipsia subpurpurea Berk. & Broome,ベニチャワンタケ科,ニクアツベニサラタケ属,Sarcoscyphaceae,Phillipsia,,

アリノベニサラタケ,,,Pithya ZZZ,ベニチャワンタケ科,イブキアカツブエダカレキン属,Sarcoscyphaceae,Pithya,,

キオビベニチャワンタケ,,,Sarcoscypha ZZZ,ベニチャワンタケ科,ベニチャワンタケ属,Sarcoscyphaceae,Sarcoscypha,,

ザラミノヨソオイチャワンタケ,,,Sarcoscypha ZZZ,ベニチャワンタケ科,ベニチャワンタケ属,Sarcoscyphaceae,Sarcoscypha,,

ニセウスベニミミタケ,,,Sarcoscypha ZZZ,ベニチャワンタケ科,ベニチャワンタケ属,Sarcoscyphaceae,Sarcoscypha,,

ベニチャワンタケの一種１ = 今関他2011:555上,,,Sarcoscypha ZZZ,ベニチャワンタケ科,ベニチャワンタケ属,Sarcoscyphaceae,Sarcoscypha,,

ベニチャワンタケの一種２ = 今関他2011:555下,,,Sarcoscypha ZZZ,ベニチャワンタケ科,ベニチャワンタケ属,Sarcoscyphaceae,Sarcoscypha,,

ホテイチャワンタケ,,,Sarcoscypha ZZZ,ベニチャワンタケ科,ベニチャワンタケ属,Sarcoscyphaceae,Sarcoscypha,,

ウサギノミミ,,,Wynnea macrotis (Berk.) anon,ベニチャワンタケ科,ミミブサタケ属,Sarcoscyphaceae,Wynnea,,

ホシガタチャワンタケ（＝キツネノサカズキ？）,,,Galiella japonica (Yasuda) Y. Otani ?,クロチャワンタケ科,オオゴムタケ属,Sarcosomataceae,Galiella,,

スミゾメチャワンタケ,,,Plectania modesta Otani ,クロチャワンタケ科,エナガクロチャワンタケ属,Sarcosomataceae,Plectania,,

クロユノミタケ（＝カバイロサカズキタケ？）,,,Urnula ZZZ ( = Helvella leucomelaena (Pers.) Nannf. ? ),クロチャワンタケ科,エツキクロコップタケ属,Sarcosomataceae,Urnula,,

ムカゴタケ,,,Tuber hiromichii (S. Imai) Trappe,セイヨウショウロ科,セイヨウショウロ属,Tuberaceae,Tuber,,

ウロイボセイヨウショウロ,,,"Tuber pseudoexcavatum Y. Wang, G. Moreno, Riousset, Manjón & G. Riousset",セイヨウショウロ科,セイヨウショウロ属,Tuberaceae,Tuber,,

アオサビシロビョウタケ,,,ZZZ,？科,？属,ZZZceae,ZZZ,,

カバイロヒメチャワンタケ,,,ZZZ,？科,？属,ZZZceae,ZZZ,,

キウロコビョウタケ,,,ZZZ,？科,？属,ZZZceae,ZZZ,,

コガネチャワンタケ,,,ZZZ,？科,？属,ZZZceae,ZZZ,,

シュイロビョウタケ,,,ZZZ,？科,？属,ZZZceae,ZZZ,,

ハイイロビョウタケ,,,ZZZ,？科,？属,ZZZceae,ZZZ,,

ガヤドリタケ（分生子型）,,,Akanthomyces ZZZ,バッカクキン科,アカンソミケス属,Clavicipitaceae,Akanthomyces,,

ハマニンニクバッカクキン,,,Claviceps litoralis Kawat.,バッカクキン科,バッカクキン属,Clavicipitaceae,Claviceps,,

シバクサバッカクキン,,,Claviceps yanagawensis Togashi ,バッカクキン科,バッカクキン属,Clavicipitaceae,Claviceps,,

イリオモテミドリムシタケ,,,Metacordyceps ZZZ,バッカクキン科,メタコルディセプス属,Clavicipitaceae,Metacordyceps,,

カンピレームシタケ,,カンピラムシタケ,Metacordyceps ZZZ,バッカクキン科,メタコルディセプス属,Clavicipitaceae,Metacordyceps,,

スカシガバタケ,,,Metacordyceps ZZZ,バッカクキン科,メタコルディセプス属,Clavicipitaceae,Metacordyceps,,

シロタマゴクチキムシタケ,,"シロツブタケ（小林・清水），
シロクチキタマゴツブタケ，
ハナヤスリウスキムシタケ",Metacordyceps ZZZ = Cordyceps deflectens [non Penz. & Sacc.] sensu Kobayashi & Shimizu,バッカクキン科,メタコルディセプス属,Clavicipitaceae,Metacordyceps,,

コッキョウビョウキン,,,Metarhizium anisopliae (Metschn.) Sorokīn,バッカクキン科,メタリジウム属,Clavicipitaceae,Metarhizium,Metarhizium anisopliae var. anisopliae (Metschn.) Sorokin (1883) [MB#429455],"Paecilomyces paranensis (Marchion.) Gunth. Müller (1965) [MB#335533]<br />Beauveria paranensis (Marchion.) Gösswald (1939) [MB#326949]

<br />Sporotrichum paranense Marchion. (1933) [MB#273578]

<br />Sporotrichum paranaense Marchion., Physis Revista de la Sociedad Argentina de Ciencias Naturales 11: 348 (1933) [MB#544169]

<br />Penicillium anisopliae (Metschn.) Vuill., Bulletin de la Société Mycologique de France 20: 220 (1904) [MB#146250]

<br />Isaria anisopliae (Metschn.) R.H. Pettit (1895) [MB#212762]

<br />Metarhizium anisopliae var. anisopliae (Metschn.) Sorokin (1883) [MB#429455]

<br />Entomophthora anisopliae Metschn., Zap. Imp. Obschch. Khoz. Ross.: 45 (1879) [MB#151982]

"

アマミヤリノホセミタケ,,,"Metarhizium owariense (Kobayasi) Kepler, S.A. Rehner & Humber f. viridescens (Uchiy. & Udagawa) Kepler, S.A. Rehner & Humber",バッカクキン科,メタリジウム属,Clavicipitaceae,Metarhizium,"Metarhizium owariense (Kobayasi) Kepler, S.A. Rehner & Humber, Mycologia 106 (4): 823 (2014) [MB#806094]","Metacordyceps owariensis (Kobayasi) Kepler, G.H. Sung & Spatafora, Mycologia 104 (1): 185 (2012) [MB#519861]<br />Ophiocordyceps owariensis (Kobayasi) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora, Studies in Mycology 57: 45 (2007) [MB#504318]

<br />Cordyceps owariensis Kobayasi, Bulletin of the Biogeographical Society of Japan 9: 166 (1939) [MB#253747]

"

トワダミドリクチキムシタケ,,,"Metarhizium pseudoatrovirens (Kobayasi & Shimizu) Kepler, S.A. Rehner & Humber",バッカクキン科,メタリジウム属,Clavicipitaceae,Metarhizium,"Metarhizium pseudoatrovirens (Kobayasi & Shimizu) Kepler, S.A. Rehner & Humber, Mycologia 106 (4): 823 (2014) [MB#806096]","Metacordyceps pseudoatrovirens (Kobayasi & Shimizu) Kepler, G.H. Sung & Spatafora, Mycologia 104 (1): 190 (2012) [MB#519864]<br />Cordyceps pseudoatrovirens Kobayasi & Shimizu, Bulletin of the National Science Museum Tokyo 8: 111 (1982) [MB#114255]

"

イマガミミドリクチキムシタケ,,,"Metarhizium pseudoatrovirens (Kobayasi & Shimizu) Kepler, S.A. Rehner & Humber f.",バッカクキン科,メタリジウム属,Clavicipitaceae,Metarhizium,"Metarhizium pseudoatrovirens (Kobayasi & Shimizu) Kepler, S.A. Rehner & Humber, Mycologia 106 (4): 823 (2014) [MB#806096]","Metacordyceps pseudoatrovirens (Kobayasi & Shimizu) Kepler, G.H. Sung & Spatafora, Mycologia 104 (1): 190 (2012) [MB#519864]<br />Cordyceps pseudoatrovirens Kobayasi & Shimizu, Bulletin of the National Science Museum Tokyo 8: 111 (1982) [MB#114255]

"

コウヤムシタケモドキ,,,Neocordyceps kohyasanensis Kobayasi,バッカクキン科,コウヤムシタケモドキ属,Clavicipitaceae,Neocordyceps,"Neocordyceps kohyasanensis Kobayasi, J. Jap. Bot.: 187 (1984) [MB#106299]",

カツブシタケ,,,Nigrocornus scleroticus (Pat.) Ryley,バッカクキン科,カツブシタケ属,Clavicipitaceae,Nigrocornus,"Balansia sclerotica (Pat.) Höhn., Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften Math.-naturw. Klasse Abt. I 120: 449 [71 repr.] (1911) [MB#114168]","Parepichloë sclerotica (Pat.) J.F. White & P.V. Reddy (1998) [MB#442587]<br />Balansia sclerotica (Pat.) Höhn., Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften Math.-naturw. Klasse Abt. I 120: 449 [71 repr.] (1911) [MB#114168]

<br />Ophiodothis sclerotica (Pat.) Henn., Annalen des Naturhistorischen Museums Wien 15: 2 (1900) [MB#180179]

<br />Epichloë sclerotica Pat., Journal de Botanique (Morot) 4 (1890) [MB#165473]

<br />Epichloe sclerotica Pat., Journal de Botanique (Morot) 4: 65 (1890) [MB#627483]

"

クロミノクチキムシタケ,,,"Podocrella uchiyamae (Kobayasi & Shimizu)  (ined.) = Ophiocordyceps uchiyamae (Kobayasi & Shimizu) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora",バッカクキン科,ポドクレルラ属,Clavicipitaceae,Podocrella,,

シロサンゴタケ（小林1941）,,,Polycephalomyces formosus Kobayasi,バッカクキン科,シロサンゴタケ属,Clavicipitaceae,Polycephalomyces,"Polycephalomyces formosus Kobayasi, Science Reports of the Tokyo Bunrika Daigaku 5: 245 (1941) [MB#289806]",

カンザシセミタケ,,,Polycephalomyces kanzashianus (Kobayasi & Shimizu) Kepler & Spatafora,バッカクキン科,シロサンゴタケ属,Clavicipitaceae,Polycephalomyces,"Polycephalomyces kanzashianus (Kobayasi & Shimizu) Kepler & Spatafora, Fungal Biology 117: 618 (2013) [MB#804388]","Cordyceps kanzashiana Kobayasi & Shimizu, Bulletin of the National Science Museum Tokyo 8 (3): 86 (1982) [MB#124465]"

ヒメハダカセミタケ,,,Polycephalomyces prolificus (Kobayasi) Kepler & J.W. Spatafora f. terminalis (Kobayasi) (ined.)  = Cordyceps prolifica Kobayasi f. terminalis Kobayasi,バッカクキン科,シロサンゴタケ属,Clavicipitaceae,Polycephalomyces,,

マユダマタケ ,,マイダマタケ,Polycephalomyces ZZZ,バッカクキン科,シロサンゴタケ属,Clavicipitaceae,Polycephalomyces,,

マユダマヤドリバエタケ,,,Polycephalomyces ZZZ,バッカクキン科,シロサンゴタケ属,Clavicipitaceae,Polycephalomyces,,

キビノムシタケ,,キビノムシタケモドキ,Shimizuomyces kibianus Kobayasi & Shimizu ,バッカクキン科,サンチュウムシタケモドキ属,Clavicipitaceae,Shimizuomyces,,

サンチュウムシタケモドキ,,,Shimizuomyces paradoxus Kobayasi ,バッカクキン科,サンチュウムシタケモドキ属,Clavicipitaceae,Shimizuomyces,"Shimizuomyces paradoxus Kobayasi, Bulletin of the National Science Museum Tokyo 7: 1 (1981) [MB#114378]","Shimizuomyces paradoxa Kobayasi (1981) [MB#281564]

"

バッカクヤドリタケ,,ササバッカクタケ,Tyrannicordyceps clavicipiticola (Tokun. & S. Imai) Kepler & Spatafora,バッカクキン科,ヒメバッカクヤドリタケ属,Clavicipitaceae,Tyrannocordyceps,Tyrannicordyceps clavicipiticola (Tokun. & S. Imai) Kepler & Spatafora: 1 (2012) [MB#550080],"Tyrannicordyceps clavicipiticola (Tokun. & S. Imai) Kepler & Spatafora: 1 (2012) [MB#550080]<br />Tyrannicordyceps clavicipiticola (Tokun. & S. Imai) Kepler & Spatafora, American Journal of Botany (2012) [MB#563728]<br />Cordyceps clavicipiticola Tokun. & S. Imai, Transactions of the Sapporo Natural History Society 14: 104 (1935) [MB#261064]

"

オゼザサバッカクヤドリタケ,,,Tyrannicordyceps ergoticola (Tanda & Kawat.) Kepler & Spatafora,バッカクキン科,ヒメバッカクヤドリタケ属,Clavicipitaceae,Tyrannocordyceps,Tyrannicordyceps ergoticola (Tanda & Kawat.) Kepler & Spatafora: 1 (2012) [MB#550082],"Tyrannicordyceps ergoticola (Tanda & Kawat.) Kepler & Spatafora: 1 (2012) [MB#550082]<br />Tyrannicordyceps ergoticola (Tanda & Kawat.) Kepler & Spatafora, American Journal of Botany (2012) [MB#563729]<br />Cordyceps ergoticola Tanda & Kawat., J. Jap. Bot.: 19 (1977) [MB#311795]

"

ヒメバッカクヤドリタケ,,,Tyrannicordyceps fratricida (Tanda & Kobayasi) Kepler & Spatafora,バッカクキン科,ヒメバッカクヤドリタケ属,Clavicipitaceae,Tyrannocordyceps,Tyrannicordyceps fratricida (Tanda & Kobayasi) Kepler & Spatafora: 1 (2012) [MB#550078],"Tyrannicordyceps fratricida (Tanda & Kobayasi) Kepler & Spatafora: 1 (2012) [MB#550078]<br />Tyrannicordyceps fratricida (Tanda & Kobayasi) Kepler & Spatafora, American Journal of Botany (2012) [MB#563731]<br />Cordyceps fratricida Tanda & Kobayasi, Journal of Agricultural Science Tokyo Nogyo Daigaku 29 (1): 36 (1984) [MB#563730]

"

ミノムシシロサナギタケ,,,Cordyceps alba Kobayasi & Shimizu,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

コメツキシロヒメタンポタケ,,,Cordyceps albida Kobayasi & Shimizu (nom. inval.),ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,"Cordyceps albida Berk. & M.A. Curtis ex Cooke, Grevillea 12 (63): 78 (1884) [MB#234640]","Ophiocordyceps subflavida (Mains) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora, Studies in Mycology 57: 47 (2007) [MB#504346]<br />Cordyceps subflavida Mains, Bulletin of the Torrey Botanical Club 86: 47 (1959) [MB#295682]

"

イラガノベニサナギタケ,,イラガベニサナギタケ,Cordyceps ampullacea Kobayasi & Shimizu,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,"Cordyceps ampullacea Kobayasi & Shimizu, Bulletin of the National Science Museum Tokyo 8: 112 (1982) [MB#114242]",

オグラムシタケ,,,Cordyceps brasiliensis Henn. ,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

ホソエノコベニムシタケ（財田型）,,,Cordyceps cardinalis G.H. Sung & Spatafora,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,"Blackwellomyces cardinalis (G.H. Sung & Spatafora) Spatafora & Luangsa-ard, IMA Fungus 8 (2): 345 (2017) [MB#820865]","Blackwellomyces cardinalis (G.H. Sung & Spatafora) Spatafora & Luangsa-ard, IMA Fungus 8 (2): 345 (2017) [MB#820865]"

ミチノクヒイロムシタケ,,,Cordyceps coccidiocapitata Kobayasi & Shimizu,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

イリオモテクモタケ,,アマミウスキクモタケ,Cordyceps cylindrica Petch,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

ケイトウクチキムシタケ,,,Cordyceps formosana Kobayasi & Shimizu,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,"Cordyceps formosana Kobayasi & Shimizu, Bull. natn. Sci. Mus.: 113 (1981) [MB#114316]","Ophiocordyceps formosana (Kobayasi & Shimizu) Wang, Tsai, Tzean & Shen, Evidence-Based Complementary and Alternative Medicine 2015: 189891 (2015) [MB#811035]"

カバイロヒメハリタケ,,,Cordyceps fuscoperitheciata Kobayashi & Shimizu (nom. inval.),ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

ヒロタニムシタケ,,ベニイロクチキムシタケ（小林）,Cordyceps hirotaniana Kobayasi,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

エゾサナギタケ,,,Cordyceps hokkaidoensis Kobayasi,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

ハエヤドリトガリツブタケ,,,Cordyceps iriomoteana Kobayasi & Shimizu,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

イシカリセミタケ,,アイヌセミタケ,Cordyceps ishikariensis Kobayashi & Shimizu (nom. inval.),ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

ラクロムシタケ,,,Cordyceps lacroixii Har. & Pat.,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

コゴメカマキリムシタケ,,,Cordyceps mantidicola Kobayasi & Shimizu,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,,

シロサナギタケ,,,Cordyceps militaris (L.) Link f. alba Kobayasi & Shimizu ex Y.J.Yao,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,"Cordyceps militaris (L.) Link, Handbuch zur Erkennung der nutzbarsten und am häufigsten vorkommenden Gewächse: 347 (1833) [MB#237604]","Torrubia militaris (L.) Tul. & C. Tul., Selecta Fungorum Carpologia: Nectriei- Phacidiei- Pezizei 3: 6 (1865) [MB#465464]

<br />Corynesphaera militaris (L.) Dumort., Commentationes botanicae: 1-116 (1822) [MB#431513]

<br />Hypoxylon militare (L.) Mérat, Nouvelle flore des environs de Paris 1: 137 (1821) [MB#469573]

<br />Xylaria militaris (L.) Gray, A natural arrangement of British plants 1: 510 (1821) [MB#432186]

<br />Sphaeria militaris (L.) Ehrh., Beiträge zur Naturkunde und den damit verwandten Wissenschaften 6: 47 (1791) [MB#206523]

<br />Clavaria granulosa Bull., Herbier de la France 11: t. 496:1 (1791) [MB#497241]<br />Clavaria gemmata Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 122, pl. 290 (1774) [MB#468737]

<br />Clavaria militaris L., Species Plantarum: 1182 (1753) [MB#208604]

"

タマサナギタケ,,,Cordyceps militaris (L.) Link f. sphaerocephala J.C. Schmidt,ノムシタケ科,ノムシタケ属,Cordycipitaceae,Cordyceps,"Cordyceps militaris (L.) Link, Handbuch zur Erkennung der nutzbarsten und am häufigsten vorkommenden Gewächse: 347 (1833) [MB#237604]","Torrubia militaris (L.) Tul. & C. Tul., Selecta Fungorum Carpologia: Nectriei- Phacidiei- Pezizei 3: 6 (1865) [MB#465464]

<br />Corynesphaera militaris (L.) Dumort., Commentationes botanicae: 1-116 (1822) [MB#431513]

<br />Hypoxylon militare (L.) Mérat, Nouvelle flore des environs de Paris 1: 137 (1821) [MB#469573]

<br />Xylaria militaris (L.) Gray, A natural arrangement of British plants 1: 510 (1821) [MB#432186]

<br />Sphaeria militaris (L.) Ehrh., Beiträge zur Naturkunde und den damit verwandten Wissenschaften 6: 47 (1791) [MB#206523]

<br />Clavaria granulosa Bull., Herbier de la France 11: t. 496:1 (1791) [MB#497241]<br />Clavaria gemmata Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 122, pl. 290 (1774) [MB#468737]

<br />Clavaria militaris L., Species Plantarum: 1182 (1753) [MB#208604]

"
